2024-04-12 11:34:45,227 INFO    Thread-32 :17452 [dir_watcher.py:_on_file_created():271] file/dir created: d:\2024\AIO\Outside-Content\40-Days-Code\40-Days-Basic-Python\Day-38\wandb\run-20240412_113424-s5nz6lq4\files\requirements.txt
2024-04-12 11:34:46,266 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: log_artifact
2024-04-12 11:34:46,286 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,288 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,288 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,291 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,291 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,297 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,307 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,307 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,309 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,311 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,311 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,311 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,311 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,314 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,314 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,317 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,317 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,317 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,325 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,327 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
2024-04-12 11:34:46,330 DEBUG   HandlerThread:17452 [handler.py:handle_request():146] handle_request: partial_history
